"date","close","volume","open","high","low"

"2019/04/12","198.8700","27738580.0000","199.2000","200.1400","196.2100"
"2019/04/11","198.9500","20543190.0000","200.8500","201.0000","198.4431"
"2019/04/10","200.6200","21654750.0000","198.6800","200.7400","198.1800"
"2019/04/09","199.5000","35738280.0000","200.3200","202.8500","199.2300"
"2019/04/08","200.1000","25829880.0000","196.4200","200.2300","196.3400"
"2019/04/05","197.0000","18473070.0000","196.4500","197.1000","195.9300"
"2019/04/04","195.6900","19090050.0000","194.7900","196.3700","193.1400"
"2019/04/03","195.3500","23243160.0000","193.2500","196.5000","193.1500"
"2019/04/02","194.0200","22727370.0000","191.0900","194.4600","191.0500"
"2019/04/01","191.2400","27308200.0000","191.6400","191.6800","188.3800"
"2019/03/29","189.9500","23524830.0000","189.8300","190.0800","188.5400"
"2019/03/28","188.7200","20710390.0000","188.9500","189.5590","187.5300"
"2019/03/27","188.4700","29771210.0000","188.7500","189.7600","186.5500"
"2019/03/26","186.7900","49696100.0000","191.6640","192.8800","184.5800"
"2019/03/25","188.7400","43751810.0000","191.5100","191.9800","186.6000"
"2019/03/22","191.0500","42287640.0000","195.3400","197.6900","190.7800"
"2019/03/21","195.0900","50943120.0000","190.0200","196.3300","189.8100"
"2019/03/20","188.1600","31003380.0000","186.2300","189.4900","184.7300"
"2019/03/19","186.5300","31440300.0000","188.3500","188.9900","185.9200"
"2019/03/18","188.0200","26148590.0000","185.8000","188.3900","185.7900"
"2019/03/15","186.1200","39017490.0000","184.8500","187.3300","183.7400"
"2019/03/14","183.7300","23527660.0000","183.9000","184.1000","182.5600"
"2019/03/13","181.7100","30929740.0000","182.2500","183.3000","180.9200"
"2019/03/12","180.9100","32416800.0000","180.0000","182.6700","179.3700"
"2019/03/11","178.9000","31123000.0000","175.4900","179.1200","175.3500"
"2019/03/08","172.9100","23985960.0000","170.3200","173.0700","169.5000"
"2019/03/07","172.5000","24755470.0000","173.8700","174.4400","172.0200"
"2019/03/06","174.5200","20755140.0000","174.6700","175.4900","173.9400"
"2019/03/05","175.5300","19238480.0000","175.9400","176.0000","174.5400"
"2019/03/04","175.8500","27413060.0000","175.6900","177.7500","173.9700"
"2019/03/01","174.9700","25737560.0000","174.2800","175.1500","172.8900"
"2019/02/28","173.1500","27953810.0000","174.3200","174.9100","172.9200"
"2019/02/27","174.8700","27817640.0000","173.2100","175.0000","172.7300"
"2019/02/26","174.3300","16991610.0000","173.7100","175.3000","173.1732"
"2019/02/25","174.2300","21846400.0000","174.1600","175.8700","173.9500"
"2019/02/22","172.9700","18890250.0000","171.5800","173.0000","171.3800"
"2019/02/21","171.0600","17154540.0000","171.8000","172.3700","170.3000"
"2019/02/20","172.0300","25323890.0000","171.1900","173.3200","170.9900"
"2019/02/19","170.9300","18958570.0000","169.7100","171.4400","169.4900"
"2019/02/15","170.4200","24603320.0000","171.2500","171.7000","169.7500"
"2019/02/14","170.8000","21785180.0000","169.7100","171.2615","169.3800"
"2019/02/13","170.1800","22389660.0000","171.3900","172.4800","169.9200"
"2019/02/12","170.8900","22224400.0000","170.1000","171.0000","169.7000"
"2019/02/11","169.4300","20940020.0000","171.0500","171.2100","169.2500"
"2019/02/08","170.4100","23793830.0000","168.9900","170.6600","168.4200"
"2019/02/07","170.9400","31644240.0000","172.4000","173.9400","170.3400"
"2019/02/06","174.2400","28204640.0000","174.6500","175.5700","172.8531"
"2019/02/05","174.1800","36054570.0000","172.8600","175.0800","172.3501"
"2019/02/04","171.2500","31384720.0000","167.4100","171.6550","167.2800"
"2019/02/01","166.5200","32644590.0000","166.9600","168.9800","165.9300"
"2019/01/31","166.4400","40613260.0000","166.1100","169.0000","164.5600"
"2019/01/30","165.2500","60800480.0000","163.2500","166.1500","160.2300"
"2019/01/29","154.6800","39914850.0000","156.2500","158.1300","154.1100"
"2019/01/28","156.3000","26147280.0000","155.7900","156.3300","153.6600"
"2019/01/25","157.7600","33508960.0000","155.4800","158.1300","154.3200"
"2019/01/24","152.7000","25418110.0000","154.1100","154.4800","151.7400"
"2019/01/23","153.9200","23046560.0000","154.1500","155.1400","151.7000"
"2019/01/22","153.3000","30273990.0000","156.4100","156.7300","152.6200"
"2019/01/18","156.8200","33259460.0000","157.5000","157.8800","155.9806"
"2019/01/17","155.8600","29616190.0000","154.2000","157.6600","153.2600"
"2019/01/16","154.9400","30483120.0000","153.0800","155.8800","153.0000"
"2019/01/15","153.0700","28449940.0000","150.2700","153.3900","150.0500"
"2019/01/14","150.0000","32018540.0000","150.8500","151.2700","149.2200"
