"date","close","volume","open","high","low"

"2019/04/12","41.7100","20242660.0000","42.3400","42.3400","41.5800"
"2019/04/11","42.2700","19177900.0000","42.7900","42.8300","41.9900"
"2019/04/10","42.7300","12383770.0000","42.9200","42.9200","42.6467"
"2019/04/09","42.8400","17859480.0000","42.9800","43.0000","42.5800"
"2019/04/08","43.1400","14620820.0000","43.0700","43.2800","42.9100"
"2019/04/05","42.9900","14761780.0000","42.9800","43.2800","42.8900"
"2019/04/04","42.7400","12211510.0000","42.7900","42.9050","42.5000"
"2019/04/03","42.8400","15370280.0000","42.9900","43.0700","42.5500"
"2019/04/02","42.9100","17462580.0000","42.9500","43.1800","42.7400"
"2019/04/01","42.8400","18566610.0000","42.5800","42.9350","42.5500"
"2019/03/29","42.4700","20571010.0000","42.4000","42.5800","42.1929"
"2019/03/28","42.2900","16048870.0000","42.1800","42.3651","42.0600"
"2019/03/27","42.0200","18358360.0000","42.3400","42.6400","41.9200"
"2019/03/26","42.4200","19762470.0000","42.2000","42.7000","42.1300"
"2019/03/25","41.8900","18807720.0000","41.8100","42.1500","41.6700"
"2019/03/22","41.8500","18569610.0000","42.2000","42.6200","41.8250"
"2019/03/21","42.3500","23005460.0000","41.9300","42.6400","41.8700"
"2019/03/20","42.1700","22143950.0000","42.2000","42.3950","41.7800"
"2019/03/19","42.3000","24704470.0000","41.9700","42.4300","41.7500"
"2019/03/18","41.8100","18018760.0000","41.7700","42.0650","41.6500"
"2019/03/15","41.7800","70936240.0000","41.2300","41.8800","40.8600"
"2019/03/14","41.1900","29738640.0000","42.0000","42.0800","41.1300"
"2019/03/13","42.0100","21805020.0000","41.8700","42.1300","41.5500"
"2019/03/12","41.7300","22460650.0000","41.7000","41.9200","41.3747"
"2019/03/11","41.5000","27666030.0000","41.1000","41.5200","40.8000"
"2019/03/08","40.8900","29663170.0000","41.3300","41.4400","40.3400"
"2019/03/07","41.3900","27431820.0000","41.8600","41.8919","41.2500"
"2019/03/06","41.8600","21262170.0000","42.8200","42.8700","41.6200"
"2019/03/05","42.8900","21969510.0000","43.0900","43.2500","42.8500"
"2019/03/04","43.0700","21028280.0000","43.4400","43.5900","42.8800"
"2019/03/01","43.3600","25049950.0000","43.6100","43.7900","43.2900"
"2019/02/28","43.3500","33780780.0000","42.9500","43.7800","42.8700"
"2019/02/27","42.9300","15631010.0000","42.9800","43.2200","42.8100"
"2019/02/26","43.0200","15647220.0000","42.9600","43.2300","42.8000"
"2019/02/25","43.0800","23134790.0000","43.0400","43.3650","42.9400"
"2019/02/22","42.9600","23509190.0000","42.3000","43.1250","42.2200"
